,CD8_TN,CD8_PD1,CD8_TIGIT,CD8_TIGITPD1,CD8_LAG3,CD8_LAG3PD1,CD8_LAG3TIGIT,CD8_TP,CD4_TN,CD4_PD1,CD4_TIGIT,CD4_TIGITPD1,CD4_LAG3,CD4_LAG3PD1,CD4_LAG3TIGIT,CD4_TP
MCF7_4,138888,5848,8800,2128,39384,2784,7952,1624,37304,10200,1776,3296,1184,1896,144,760
MCF7_24,52736,10304,4184,1008,69456,22224,14536,7400,11200,10144,592,2616,896,3272,152,1560
MCF7_48,151112,9448,8248,880,73256,9480,22560,8312,11592,8960,1064,2488,656,2984,232,1256
MCF7_72,89576,12520,8224,1568,45728,11624,19000,12784,5968,8312,744,3136,664,4160,112,2648
CAMA1_4,67446,2544,3714,708,24240,1644,4320,732,16248,3594,756,1230,522,744,66,270
CAMA1_24,31920,6366,2058,510,44946,11838,10260,4908,5796,6246,372,1686,480,1980,180,852
CAMA1_48,85740,1968,5484,240,28296,2268,14658,3528,6006,2496,900,1098,324,690,192,570
CAMA1_72,102216,6426,11694,1032,19308,3072,20028,6966,5982,4296,912,2106,288,1236,156,960
T47D_4,144656,9656,9064,2408,57840,7120,9328,3128,40472,17888,1896,5320,1416,4080,256,1488
T47D_24,55904,16368,4264,1376,58888,21200,15016,8632,7992,13840,624,3360,624,3352,136,1832
T47D_48,261576,16416,23720,3112,34784,6480,31928,12200,15896,14736,2176,5424,856,2768,296,1952
T47D_72,130800,23824,22088,6160,18152,6472,20312,12488,5696,12544,1152,5136,400,2856,136,2544
