,CD8_TN,CD8_PD1,CD8_TIGIT,CD8_TIGITPD1,CD8_LAG3,CD8_LAG3PD1,CD8_LAG3TIGIT,CD8_TP,CD4_TN,CD4_PD1,CD4_TIGIT,CD4_TIGITPD1,CD4_LAG3,CD4_LAG3PD1,CD4_LAG3TIGIT,CD4_TP
Donor_1_4,23424,1332,1836,456,1680,468,468,264,7716,3552,300,516,60,300,60,60
Donor_1_24,6852,3228,960,576,2124,1716,768,624,384,2688,12,228,24,384,60,132
Donor_1_48,14679,4185,1971,576,7263,3483,2232,1755,522,3312,63,603,54,1512,63,729
Donor_1_72,15504,4080,2880,720,8340,4428,3432,2508,312,2952,36,876,84,1944,60,1152
Donor_2_4,39936,5640,4644,732,1332,648,1776,468,24240,14856,1128,3948,288,1872,96,1284
Donor_2_24,7908,10716,1884,1164,1104,1992,1500,1368,2820,10932,108,2436,84,1716,72,1452
Donor_2_48,13770,9477,1989,828,2178,3150,3078,2016,2835,15030,360,2781,171,3834,45,3267
Donor_2_72,9324,8244,2208,744,1164,1992,3396,2004,2820,14040,420,4620,204,4332,24,4308
Donor_3_4,63000,7176,2760,1032,18708,4332,2256,1080,13140,8292,528,1932,360,1512,36,408
Donor_3_24,31776,12744,2160,936,28656,19200,5064,5136,2784,8400,72,1476,252,2328,24,828
Donor_3_48,59499,10071,2817,720,73440,18864,11610,9018,3204,8793,261,1377,288,4851,63,1764
Donor_3_72,33984,4404,2208,552,26244,6300,10944,8916,1476,5688,192,1908,204,3864,60,2124
